date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:43	92537/92537	---M-Z	200	added ('OK')	text/html	etag:W/%228bd4c063ce524a5ec450b6b85115ec08--gzip%22	https://marcotavora.squarespace.com/portfolio-marco-tavora	E:/desk/Websites/KhaledScience/marcotavora.squarespace.com/portfolio-marco-tavora.html	(from )
11:06:43	325/325	---M-Z	200	added ('OK')	text/plain	date:Sun,%2026%20Feb%202023%2008:06:42%20GMT	https://marcotavora.squarespace.com/robots.txt		(from )
11:06:44	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:06:45	20644/20644	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2026%20Feb%202023%2008:06:43%20GMT	http://use.typekit.net/ik/U-kSeViC1Cp3aDOcPBmeKwsq75mGQquI4Jt8JiOKuZGfezbIfFHN4UJLFRbh52jhWD9ojhmKFhBRF28cjD4KjQZ8FDSa5QMt5gn_MKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0dABkjhNXjWZzScI0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCdABkjhNXjWZzScI0dA9CdABkjhNXjWZzScI0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcuyScFzieBhda4yOcu8OYiaikoljW4RdasyicNkjPoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXK2YgkdayTdAIldcNhjPJOd1mq-WFXjPuaZAJKfAZuiYmkjPu3ifJeZWmkdagyH6qJ73IbMg6gJMJ7fbRKHyMMeMw6MKG4fJCgIMMjgkMfH6qJtkGbMg6FJMJ7fbKwMsMMegI6MKG4fVvFIMIjMkMfH6qJy89bMy62JMJ7fbKImsMfeMb6MKG4fVN9IMJjgPMfH6qJ7WqbMU62JMJ7fbK7psM2eMb6MKG4fHyoIMwjgkMfH6GJttjgIMwj2PMfH6GJojjgIMwjIPMfqMY97G5Yg6.js	E:/desk/Websites/KhaledScience/use.typekit.net/ik/U-kSeViC1Cp3aDOcPBmeKwsq75mGQquI4Jt8JiOKuZGfezbIfFHN4UJLFRbh52jhWD9ojhmKFhBRF28cjD4KjQZ8FDSa5QMt5gn_MKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0dABkjhNXjW	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:06:47	46519/46519	---M-Z	200	added ('OK')	text/javascript	etag:W/%22fb012f8dd03bda9910ef0959c1a66e53%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-2b8445ac3456a9c5d3bda-min.en-US.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-2b8445ac3456a9c5d3bda-min.en-US.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:06:49	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:W/%220da90896a2a05c2a8d1acf3d60dbc2f5%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:06:49	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:07:00	245972/245972	---M-Z	200	added ('OK')	text/javascript	etag:%22c2eaed67533f1f0934474b49b2beed46%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0fda8ea0a0cf92af6b92e-min.en-US.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0fda8ea0a0cf92af6b92e-min.en-US.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:07:02	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	E:/desk/Websites/KhaledScience/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
11:07:08	527166/527166	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Feb%202023%2008:07:02%20GMT	https://static1.squarespace.com/static/sitecss/59ceb7ac49fc2ba6e7779088/71/52a74dafe4b073a80cd253c5/59ceb7ac49fc2ba6e777909c/1043/site.css	E:/desk/Websites/KhaledScience/static1.squarespace.com/static/sitecss/59ceb7ac49fc2ba6e7779088/71/52a74dafe4b073a80cd253c5/59ceb7ac49fc2ba6e777909c/1043/site.css	(from https://marcotavora.squarespace.com/portfolio-marco-tavora)
